tiempo_s,voltaje_mV
0.000,0.10
0.004,0.14
0.008,0.18
0.012,0.23
0.016,0.27
0.020,0.32
0.024,0.20
0.028,0.08
0.032,-0.05
0.036,-0.10
0.040,-0.25
0.044,-0.40
0.048,-0.25
0.052,0.20
0.056,0.90
0.060,1.10
0.064,0.90
0.068,0.40
0.072,0.10
0.076,0.05
0.080,0.10
0.084,0.15
0.088,0.20
0.092,0.25
0.096,0.18
0.100,0.10
0.104,0.05
0.108,0.00
0.112,-0.05
0.116,-0.10
0.120,-0.12
0.124,-0.08
0.128,0.05
0.132,0.20
0.136,0.32
0.140,0.40
0.144,0.35
0.148,0.25
0.152,0.15
0.156,0.08
0.160,0.02
0.164,0.00
0.168,-0.02
0.172,-0.04
0.176,-0.05
0.180,-0.03
0.184,0.02
0.188,0.08
0.192,0.10
0.196,0.05
0.200,0.00
